FIPS,population,cases,new_cases_last_week,new_cases_2_week_ago,deaths
13213,40096,3251,222,307,44
13215,195769,10782,572,890,221
13217,111744,5726,382,405,139
13219,40280,2293,179,273,42
13221,15259,950,54,109,15
13223,168667,7777,616,749,126
13225,27546,1457,81,121,33
13227,32591,1915,120,198,22
13229,19465,1039,50,57,30
13231,18962,799,42,85,16
13233,42613,3194,218,204,55
13235,11137,503,18,32,25
13237,22119,1408,78,88,36
13239,2299,62,5,5,1
13241,17137,1262,73,118,26
13243,6778,390,14,7,30
13245,202518,15477,1053,1081,257
13247,90896,4543,297,339,84
13249,5257,176,11,10,2
13251,13966,645,36,47,11
13253,8090,645,27,23,12
13255,66703,3035,129,174,100
13257,25925,2503,98,179,62
13259,6621,650,23,13,17
13261,29524,1578,101,82,74
13263,6195,304,12,33,11
13265,1537,83,12,13,0
13267,25286,1519,73,122,27
13269,8020,418,27,31,17
13271,15860,638,18,28,34
13273,8531,491,21,14,35
13275,44451,2942,184,262,87
13277,40644,3159,81,135,80
13279,26830,2512,85,216,68
13281,12037,859,34,51,27
13283,6901,527,53,52,16
13285,69922,4804,303,233,133
13287,7985,531,15,37,25
13289,8120,442,22,47,20
13291,24511,1672,81,134,47
13293,26320,1484,82,164,77
13295,69761,4698,273,389,59
13297,94593,6146,529,681,108
13299,35734,2577,127,159,95
13301,5254,296,36,5,7
13303,20374,1385,74,106,29
13305,29927,2158,115,150,52
13307,2607,78,4,8,2
13309,7855,423,6,16,19
13311,30798,2504,165,235,47
13313,104628,12707,647,808,156
13315,8635,419,15,11,25
13317,9777,554,48,23,9
13319,8954,631,41,50,20
13321,20247,1054,48,91,43
15001,201513,2088,58,255,45
15003,974563,20018,629,2440,255
15007,72293,175,8,28,1
15009,167417,1618,156,458,20
16001,481587,42863,1690,2180,391
16003,4294,303,13,48,3
16005,87808,7116,228,390,79
16007,6125,313,5,19,2
16009,9298,517,21,28,6
16011,46811,3954,64,151,55
16013,23021,1752,114,38,14
16015,7831,277,24,6,2
16017,45739,2429,169,184,23
16019,119062,11174,276,427,125
16021,12245,686,42,54,10
16023,2597,180,4,7,1
16025,1106,58,1,1,0
16027,229849,22942,913,1050,245
16029,7155,597,21,23,11
16031,24030,2709,41,109,22
16033,845,53,0,0,0
16035,8756,936,80,21,10
16037,4315,225,5,9,2
16039,27511,1462,47,51,10
16041,13876,991,15,49,12
16043,13099,923,22,19,14
16045,18112,1577,63,72,28
16047,15179,1210,17,32,22
16049,16667,1121,26,64,16
16051,29871,2207,42,62,15
16053,24412,2369,35,105,18
16055,165697,14891,665,1171,146
16057,40108,2397,75,80,6
16059,8027,473,3,7,9
16061,3838,361,6,13,6
16063,5366,461,6,10,10
16065,39907,5690,200,159,21
16067,21039,2181,32,72,26
16069,40408,3215,59,121,45
16071,4531,287,15,16,3
16073,11823,954,23,38,23
16075,23951,2245,71,102,26
16077,7681,570,12,12,6
16079,12882,924,30,49,30
16081,12142,896,66,80,4
16083,86878,8554,157,350,118
16085,11392,637,72,54,4
16087,10194,1098,35,49,18
17001,65435,7371,238,559,94
17003,5761,389,19,21,7
17005,16426,1738,43,81,19
17007,53544,5549,129,235,65
17009,6578,610,34,35,5
17011,32628,3004,50,130,72
17013,4739,440,20,30,1
17015,14305,1426,27,37,32
17017,12147,1751,38,112,21
17019,209689,15485,511,806,95
17021,32304,2986,106,170,57
17023,15441,1477,77,140,27
17025,13184,1312,19,77,35
17027,37562,5032,201,282,77
17029,50621,4703,101,237,79
17031,5150233,435888,13729,18288,8544
17033,18667,1761,56,92,20
17035,10766,1085,39,77,15
17037,104897,7491,311,393,89
17039,15638,1147,61,110,20
17041,19465,1995,28,94,27
17043,922921,69285,2427,3420,1066
17045,17161,1443,32,48,32
17047,6395,462,13,53,8
17049,34008,4311,104,267,58
17051,21336,2911,69,129,50
17053,12961,1390,45,91,42
17055,38469,3847,154,298,59
17057,34340,2569,75,138,41
17059,4828,388,13,41,3
17061,12969,1257,36,74,30
17063,51054,4387,178,251,50
17065,8116,717,47,48,14
17067,17708,1486,43,102,24
17069,3821,303,21,32,8
17071,6646,453,21,17,7
17073,48913,4014,91,152,49
17075,27114,2597,72,157,54
17077,56750,4187,185,217,57
17079,9610,1040,36,73,14
17081,37684,3435,177,199,103
17083,21773,2225,103,106,40
17085,21235,1485,35,29,21
17087,12417,1211,29,131,9
17089,532403,46063,1484,2123,631
17091,109862,11488,258,364,171
17093,128990,9715,410,543,71
17095,49699,4589,178,192,113
17097,696535,53439,1754,2241,819
17099,108669,9478,447,461,196
17101,15678,2176,55,160,21
17103,34096,3048,127,151,35
17105,35648,3647,210,153,58
17107,28618,3094,109,180,43
17109,29682,2150,74,69,39
17111,307774,21712,818,1091,227
17113,171517,13244,472,776,129
17115,104009,8836,309,331,168
17117,44926,3849,192,214,68
17119,262966,24398,1159,1503,400
17121,37205,3994,137,185,106
17123,11438,670,37,39,12
17125,13359,1166,30,94,39
17127,13772,1018,40,75,28
17129,12196,880,52,48,6
17131,15437,1172,21,43,29
17133,34637,3587,143,232,70
17135,28414,3053,207,380,39
17137,33658,3259,76,123,72
17139,14501,1374,40,56,20
17141,50643,4603,107,287,64
17143,179179,15054,628,872,228
17145,20916,2670,158,335,52
17147,16344,1174,38,61,11
17149,15561,1543,32,99,43
17151,4177,247,17,29,2
17153,5335,613,26,30,3
17155,5739,346,4,17,1
17157,31782,3715,112,175,63
17159,15513,1536,50,137,35
17161,141879,11919,324,370,261
17163,259686,22343,1079,1399,387
17165,23491,2030,72,157,38
17167,194672,14548,472,562,201
17169,6768,624,34,29,4
17171,4951,385,23,20,1
17173,21634,1970,55,75,32
17175,5342,493,4,33,20
17177,44498,3532,104,120,54
17179,131803,11944,420,823,213
17181,16653,1993,90,154,30
17183,75758,7538,413,515,96
17185,11520,1179,36,79,11
17187,16844,1586,22,58,41
17189,13887,1452,60,132,19
17191,16215,1520,70,83,42
17193,13537,1334,50,97,22
17195,55175,5261,145,242,134
17197,690743,58408,1973,2745,800
17199,66597,6196,233,527,107
17201,282572,26295,689,1034,373
17203,38459,3202,143,231,53
18001,35777,3246,99,162,36
18003,379299,32214,1159,1862,566
18005,83779,6329,219,410,102
18007,8748,853,30,37,10
18009,11758,1103,51,114,22
18011,67843,5407,217,487,71
18013,15092,859,20,77,31
18015,20257,1540,54,129,16
18017,37689,4756,154,238,63
18019,118302,10370,592,919,143
18021,26225,2190,100,117,32
18023,32399,3682,118,240,44
18025,10577,773,68,61,10
18027,33351,2633,109,144,76
18029,49458,4653,279,336,47
18031,26559,2485,93,153,86
18033,43475,3396,99,240,67
18035,114135,8968,460,569,138
18037,42736,5472,237,519,76
18039,206341,24271,488,776,355
18041,23102,2562,68,129,49
18043,78522,6216,354,460,112
18045,16346,1807,92,144,28
18047,22758,1461,70,119,34
18049,19974,1612,60,96,30
18051,33659,3604,186,265,60
18053,65769,6284,248,450,115
18055,31922,2378,115,174,65
18057,338011,28726,1459,2135,323
18059,78168,6491,365,645,102
18061,40515,3339,224,302,45
18063,170311,14062,745,1175,261
18065,47972,4991,206,402,65
18067,82544,7992,420,620,143
18069,36520,2852,103,216,59
18071,44231,4182,124,195,47
18073,33562,2856,133,162,36
18075,20436,1648,43,57,24
18077,32308,2542,151,149,42
18079,27735,1943,78,75,37
18081,158167,14744,775,1157,300
18083,36594,3301,136,224,39
18085,79456,7932,244,450,83
18087,39614,2255,47,107,62
18089,485493,44695,1427,2164,697
18091,109888,8876,456,606,161
18093,45370,3841,142,311,79
18095,129569,10743,547,821,233
18097,964582,82482,3383,5292,1374
18099,46258,4955,136,258,84
18101,10255,708,29,70,13
18103,35516,3133,137,185,44
18105,148431,9194,379,480,112
18107,38338,3383,180,240,53
18109,70489,5256,298,401,97
18111,13984,900,27,30,23
18113,47744,4635,137,342,60
18115,5875,472,27,26,7
18117,19646,1532,92,149,35
18119,20799,1614,72,152,39
18121,16937,1305,36,59,8
18123,19169,1503,103,106,28
18125,12389,1145,72,110,28
18127,170389,14536,511,783,176
18129,25427,2344,134,236,27
18131,12353,954,28,51,37
18133,37576,2889,151,188,47
18135,24665,2139,78,93,46
18137,28324,2945,114,218,45
18139,16581,1577,102,177,18
18141,271826,26952,851,1164,398
18143,23873,2192,89,118,40
18145,44729,4911,189,364,90
18147,20277,1846,99,190,19
18149,22995,1731,50,66,46
18151,34594,3098,121,241,44
18153,20669,1900,55,133,32
18155,10751,624,44,61,5
18157,195732,17642,831,1200,126
18159,15148,1297,49,131,35
18161,7054,641,17,71,6
18163,181451,18864,993,1649,240
18165,15498,1459,56,121,33
18167,107038,10552,345,594,182
18169,30996,2954,129,127,47
18171,8265,665,29,94,8
18173,62998,6531,419,586,96
18175,28036,1793,122,151,21
18177,65884,6376,254,326,162
18179,28296,2338,106,168,50
18181,24102,2691,96,198,38
18183,33964,2972,155,191,25
19001,7152,688,32,33,20
19003,3602,295,7,19,3
19005,13687,1276,35,62,28
19007,12426,1101,46,53,38
19009,5496,416,16,27,8
19011,25645,2093,43,53,44
19013,131228,13701,405,441,236
19015,26234,2179,87,165,17
19017,25062,2430,68,71,48
19019,21175,1592,53,72,23
19021,19620,3923,72,138,29
19023,14439,1473,67,88,24
19025,9668,1221,15,25,9
19027,20165,2540,55,89,34
19029,12836,1128,26,62,41
19031,18627,1526,69,63,19
19033,42450,4647,130,142,68
19035,11235,1388,56,76,27
19037,11933,1109,20,46,12
19039,9395,792,53,52,7
19041,16016,1673,50,64,20
19043,17549,1513,35,89,48
19045,46429,4495,135,161,61
19047,16820,2298,56,94,22
19049,93453,8859,363,405,71
19051,9000,691,13,32,21
19053,7870,482,20,34,4
19055,17011,1732,43,46,36
19057,38967,3810,92,178,41
19059,17258,1852,42,86,26
19061,97311,11350,259,341,150
19063,9208,1104,25,52,31
19065,19650,1610,88,103,22
19067,15642,1388,44,46,36
19069,10070,1017,36,71,18
19071,6960,508,24,18,6
19073,8888,691,23,23,7
19075,12232,1205,38,79,26
19077,10689,1030,27,48,24
19079,14773,1590,51,72,29
19081,10630,1298,42,63,24
19083,16846,1544,27,52,29
19085,14049,1548,39,64,62
19087,19954,2639,59,74,30
19089,9158,831,35,71,19
19091,9558,1054,35,48,19
19093,6860,742,16,29,30
19095,16184,1246,53,34,22
19097,19439,1917,60,56,31
19099,37185,3212,149,135,59
19101,18295,1201,46,106,24
19103,151140,12085,383,464,49
19105,20681,2706,40,66,49
19107,10246,849,21,31,26
19109,14813,1724,85,101,44
19111,33657,3159,95,163,30
19113,226706,17743,421,571,275
19115,11035,1148,26,54,30
19117,8600,648,13,50,8
19119,11755,1349,38,48,32
19121,16338,1199,101,83,9
19123,22095,1921,73,106,36
19125,33253,3038,124,183,52
19127,39369,4265,73,169,61
19129,15109,1362,24,52,16
19131,10586,1161,45,74,34
19133,8615,640,44,23,16
19135,7707,809,38,96,18
